AWB,ConsigneeCompany,ConsigneeAddr1,ConsigneePostal,KiloWgt,SelectCd,PieceQty,CommitDate,DestLocCd,CourierRoute
6.36E+11,PARKER H INDUSTRIAL M SDN,C O EXPEDITORS MYSA SDN BHD,64000,22.4,FCZ,3,19/9/2017,MKZ,
7.76E+11,TIONG NAM LOGISTICS SOLUTIONS SDN.BHD,"D28, JALAN DPB 3,FC,PELABUHAN",88060,33,C8,5,19/9/2018,JHB,
7.76E+11,TIONG NAM LOGISTICS SOLUTIONS SDN.BHD,"D13, JALAN TANJUNG A/2 FCZ,",88060,9.1,C8,1,19/9/2018,JHB,
7.90E+11,MR AYIYA,"BLOCK 8, VENICE HILL CONDOMINI",43200,33,DR,8,19/9/2017,KUL,880
7.90E+11,,LEVEL 7 CENTREPOINT NORTH TOWER,59200,55.5,"C1,DIA",1,19/9/2017,KUL,823
7.90E+11,CASSA JAYA ENTERPRISE,"NO 21, JALAN AUSTIN HEIGHT 3/1",81100,4.2,"C1,DT",1,19/9/2017,JHB,
4.47E+11,SEE SONG SONS SDN BHD,"12-4, JALAN 2/114",58200,55.3,"DIA,C1",15,19/9/2017,KUL,833
4.82E+11,FUGRO MALAYSIA LAND SDN BHD,"NO. G-32, JALAN PUTERI 4/8",47100,19.6,"C1,DIA",1,19/9/2017,XKL,823
7.76E+11,ASIA AEROTECHNIC SDN. BHD.,SULTAN ABDUL AZIZ SHAH AIRPORT,47200,55.5,"C1,DT",1,19/9/2017,XKL,823
7.36E+11,CHEW WINSON,"29. JALAN MANJA 1, VILLA MANJA SUN",52200,33,"C1,DIA",1,19/9/2017,KUL,843
1.06E+11,BRONSON & JACOBS (MALAYSIA) SDN BHD,LOT PT200 JALAN ASAM JAWA 16/15,40675,1.4,"C1,DT",1,19/9/2017,XKL,915912
7.76E+11,KAVI TRANSPORT SERVICES,"LOT F-31, CARGO COMPLEX",64000,8.2,FCZ,1,19/9/2012,MKZ,
1.22E+11,AGE DOR INDUSTRIAL SDN. BHD.,"NO.65, JALAN NILAM 1/2, SUBANG",40000,88,"C1,DT",1,19/9/2017,XKL,823
7.90E+11,,7-1 MONT KIARA DAMAI RESORT CONDO,50480,444,"DIA,C1",3,19/9/2017,KUL,880
7.90E+11,MUHAMAD UMAR TAJALUDIN,"23A, JALAN MUTIARA 1/9",81300,0.9,"C1,DIA",1,19/9/2017,JHB,
1.21E+11,PARKER HANNIFIN IND (M) SDN BHD,"SEKYEN U8, BUKIT JETONG IND",40150,43.1,"C1,DT",10,19/9/2017,XKL,823
7.76E+11,OGPC SDN. BND,"NO. 1 3, JALAN RIYAL U3/37 IPARC 3",40150,621.3,"C1,DIA",5,19/9/2017,XKL,823
7.90E+11,TEAM MEDICAL SCIENTIFIC SDN BHD,"NO. 41, JALAN ANGGERIK VANILLA T 3",40460,2.3,"C1,DIA",1,19/9/2017,XKL,925928
7.76E+11,PELITA RASA AGENCY SDN BHD,LEVEL 5 WISMA SATOK,93400,0.5,DR,1,19/9/2018,KCH,
7.90E+11,,"LOT 84, JALAN AH PENG",28700,5.2,"C1,DIA",2,19/9/2018,KBR,
7.90E+11,,41 SS15/5C SUBANG,47500,22,"C1,EX,DT",1,19/9/2017,XKL,930932
1.03E+11,,"17, JALAN CASABELLA 1",47810,0.8,"C1,PL",1,19/9/2013,XKL,977982
4.40E+11,LIKOM CMS SDN BHD,"19401-1, JALAN TTC 12,TAMAN TEKNOLO",75260,8.8,"C1,DT",2,19/9/2017,MKZ,
7.76E+11,SENSATA TECHNOLOGIES (M) SDN BHD,"LOT 84, PERSIARAN SUBANG INDAH,",47600,44.4,"C1,DT",5,19/9/2017,XKL,880
7.76E+11,SENSATA TECHNOLOGIES (M) SDN BHD,"LOT 84, PERSIARAN SUBANG INDAH,",47600,111,"DT,C1",1,19/9/2017,XKL,823
7.13E+11,HONEYWELL ASIA REGIONAL C/O CEVA,"LOT 9A, JALAN TIANG U8/92",40150,22,"C1,C8",1,19/9/2012,XKL,823
7.76E+11,VALLEN SINGAPORE PTE LTD,"13, JALAN U1/35A",40150,102.3,"C1,DIA",3,19/9/2017,XKL,833
7.76E+11,M SCOPE AUTO PARTS SDN BHD,NO 53 JALAN SBC 3,68100,50.8,"C1,DIA",3,19/9/2017,KUL,823
7.90E+11,MIROLJUB STOJANOVIC,05-1 DESA ANGKASA CONDOMINIUM,55000,0.8,"PL,C1",1,19/9/2017,KUL,813+
7.90E+11,,"22A, JALAN PERISA 14 BANDAR BARU",57000,36.4,"C1,DIA",5,19/9/2017,KUL,833
7.90E+11,,"SUITE E-12-4, PLAZA MONT KIARA NO",50480,222.3,"PL,C1",6,19/9/2017,KUL,880
7.90E+11,CHRISTINA YEO,"MINISTERS OFFICE, MINISTRY OF PRI",62654,0.1,"C1,DIA",1,19/9/2017,XKL,969938
4.47E+11,GOODRICH GLOBAL SDN BHD,"UNIT M-2-2, BLK M, PLAZA DAMAS",50480,553.1,DR,2,19/9/2017,KUL,880
7.76E+11,SKK GLOBAL ENTERPRISE,LOT F1 FORWARDERS BUILDING KLAS,64000,4.5,FCZ,1,19/9/2012,MKZ,
4.91E+11,CURVATURE (MALAYSIA) SDN BHD,2-46 BLOCK A LOBBY C,47301,231.4,"C1,PL",50,19/9/2017,XKL,823
7.90E+11,INFASTECH (MALAYSIA) SDN BHD,"LOT 63, PERSIARAN BUNGA TANJUNG 1,",70400,1.9,"DT,C1",1,19/9/2017,RDN,
7.90E+11,SOLCREST (JB) SDN BHD,"35, JALAN BAKAWALI 43",81100,5.9,"C1,DT",3,19/9/2017,JHB,
7.76E+11,SEAMAP (M) SDN BHD,1 JALAN MEGA 1/3,79200,5.9,"C1,DT",1,19/9/2018,JHB,
1.20E+11,K-ONE TECHNOLOGY BHD,66 & 68 JALAN SS 22/21DAMANSARA JAY,47400,5.4,"C1,DT",1,19/9/2017,XKL,973972
4.41E+11,NICHICON (MALAYSIA) SDN BHD,"NO.4 JALANP/10, KAWASAN PERUSAHAAN",43650,0.1,"C1,DT",1,19/9/2017,RDN,
7.76E+11,BCS INTEGRATION SOLUTIONS SDN BHD,16680 JLN MEKANIKAL 1,71800,10,"DT,C1",1,19/9/2017,RDN,
7.90E+11,,263 JALAN A1 TAMAN,53100,33,"C1,PL",1,19/9/2017,KUL,839
4.75E+11,LABALLIANCE SDN BHD,"43, JALAN ANGGERIK VANILLA AB",40460,0.8,"C1,DT",1,19/9/2017,XKL,925928
7.76E+11,VR 1 NATION EXPRESS SDN BHD,CTB-B-3C KLAS CTB BUILDING,43900,2.3,FCZ,1,19/9/2012,MKZ,
7.76E+11,ZAINUDIN SAMSURI,NO 32 JALAN CEMERLANG 2,42700,4.1,"C1,DT,EX",4,19/9/2018,MKZ,
7.76E+11,SIME DARBY AUTO IMPORTS SDB BHD,"FIRST FLOOR LOT 33, JALAN PELUKIA",40150,27.5,DR,10,19/9/2017,XKL,833
4.82E+11,AIRFOIL SERVICES SDN BHD,"JALAN TEK,TAMAN SAINS SELANGOR 1",47810,8.8,"C1,DT",1,19/9/2017,XKL,823
4.82E+11,AIRFOIL SERVICES SDN BHD,"JALAN TEK,TAMAN SAINS SELANGOR 1",47810,55,"C1,DT",2,19/9/2017,XKL,823
7.76E+11,SKK GLOBAL ENTERPRISE,LOT F1 FORWARDERS BUILDING KLAS,64000,2.7,FCZ,1,19/9/2012,MKZ,
7.76E+11,BOON CHIANG BOH,"NO 2, JALAN ASTAKA U8/82",40150,44,"PL,C1",1,19/9/2018,XKL,823
4.83E+11,V MEDICAL SERVICES,NO47-4 THE HIGHWAY CENTRE,46050,175.2,"DT,C1",25,19/9/2017,KUL,823
4.90E+11,MULTI ACE TECHNOLOGY,NO 242-2A JALAN HARUAN 5 6 OAKLAN,70300,0.2,"C1,DT",1,19/9/2017,RDN,
7.76E+11,PRISMA JAYA BUMI SDN BHD,"LOT 1745 MCLD BLK 3, JALAN PRUNUS",98000,12.2,"C1,DIA",1,19/9/2019,ODN,
1.23E+11,JOTUN PAINTS (MALAYSIA) SDN BHD,LOT 6 PT3 SEKSYEN 16/9JALAN GUDANG,40000,6,"C1,DT",1,19/9/2017,XKL,911912
1.10E+11,,"7, JALAN 13/6",46200,66,"DIA,C1",5,19/9/2017,KUL,833
1.22E+11,PRIMALOY SDN BHD,JALAN SUBANG 3,47610,87.1,"C1,DIA",2,19/9/2017,XKL,823
4.93E+11,ROUTE 77 SDN BHD,ROUTE 77 MOTORS SDN BHD,55000,147.8,"C1,DIA",4,19/9/2017,KUL,880
6.79E+11,PARKER H INDUSTRIAL M SDN,C O EXPEDITORS MYSA SDN BHD,64000,1,FCZ,1,19/9/2017,MKZ,
7.90E+11,,"46, JALAN SETIA IMPIAN U13/6K,",40170,0.2,DR,1,19/9/2012,XKL,KAPAR+
7.90E+11,,"NO.31,JLN LEP 7/6,TMN LESTARI PUTR",43300,67.3,"DIA,C1",10,19/9/2017,KUL,823
7.76E+11,DFRESH SDN BHD,YAYASAN SELANGOR BLDG.,55100,0,DR,1,19/9/2012,KUL,825
4.95E+11,MYLERS JONG KIM LEONG,12-06BLOK BPANGSAPURI DWI GALAKSI,80300,1,"C1,DIA",1,19/9/2017,JHB,
1.12E+11,SHIVESH IYER,5-1 LEVEL 5 VERTICAL CORPORATE TOW,59200,2.4,"C1,DIA",1,19/9/2017,KUL,851
1.12E+11,AARON GOH,8 JALAN BU 6/4 BANDAR UTAMA,47800,288.1,"C1,DIA",3,19/9/2017,XKL,880
7.76E+11,CALBEE URC MALAYSIA SDN. BHD.,"PLO 370, JALAN PERAK TIGA",81700,0.2,DR,1,19/9/2012,JHB,
7.90E+11,,"NO 52, JALAN BATU JAUHAR 6,",68100,44,"C1,DIA",6,19/9/2017,KUL,823
7.76E+11,LST FRESH FRUITS (M) SDN BHD,"182-190,JALAN 2/3A, BANDAR UTARA",68100,0.1,DR,1,19/9/2012,KUL,
7.76E+11,FRUITACE MARKETING SDN BHD,S/L 31-32 LRG 7A DEMAK LAUT,93050,0.5,DR,1,19/9/2013,KCH,
4.39E+11,MHE MEDICAL SUPPLIES,12-B LEVEL 2 BLOCK 4WORLDWIDE BUS C,40150,4.5,"C1,DT",1,19/9/2017,XKL,911926
7.76E+11,TRICOR CORPORATE SERVICES SDN BHD,"UNIT 30-01,LEVEL 30,TOWERA VERT BU",59200,0.5,DR,1,19/9/2012,KUL,851
1.01E+11,"KOSSAN INTERNATIONAL SDN,BHD","KU8, KAWASAN PERINDUSTRIAN MERU",41050,0.6,"DIA,PW",1,19/9/2017,XKL,KAPAR+
7.91E+11,,"LOT GF-01,GROUND FLOOR",64000,3,FCZ,1,19/9/2012,MKZ,
4.92E+11,GREEN COMPUTING SERVICES SDN. BHD.,"H-07-2, PUSAT PERDAGANGAN BANDAR",57000,77,"DIA,C1",1,19/9/2017,KUL,823
4.92E+11,HAMILTON SUNDSTRAND CUSTOMER SUPPOR,"NO. 9, LENGKUK KELULI 2 ,BUKIT RAJA",41050,12.2,"C1,DT",1,19/9/2017,XKL,KULBK+
6.69E+11,MICRON SEMICONDUCTOR MALAYSIA S/B,"NO. K93 (PLO 74), JALAN PERINDUSTR",84007,2.5,"C1,DT",1,19/9/2017,MUR,
1.23E+11,LUMESSE MALAYSIA,SUITE 826,,1.8,"C1,PL",1,19/9/2017,XKL,823
7.76E+11,COHU MALAYSIA SDN BHD,"NO 5203-1, JALAN PAK 2/3",75450,36.3,"C1,DT",2,19/9/2017,MKZ,
7.76E+11,CONVEX MALAYSIA SDN BHD,KUALA LUMPUR CONVENTION CENTER,50088,33,DR,1,19/9/2012,KUL,823
7.90E+11,AIA BHD,AIA BHD RACC AGENCY,46200,435.3,"C1,DIA",3,19/9/2017,KUL,833
7.90E+11,MR. TING CHUN LIN DOMINIC,PRUDENTIAL ASSURANCE MALAYSIA BERH,41200,10.2,"C1,DIA",1,19/9/2017,XKL,823
4.75E+11,WOAN CHIOU SEE,"62, JALAN EMAS 7,BANDAR SUNGAI EMA",42700,2.7,"C1,DIA",1,19/9/2018,MKZ,
7.90E+11,,2 6 12A BLOK B SENTROVUE APARTMENT,42300,65.4,"C1,DIA",10,19/9/2018,SZB,
4.81E+11,,"27, JALAN SETIA INDAH U13/13M",40170,1.4,"C1,DIA",1,19/9/2017,XKL,KAPAR+
4.65E+11,BACCUS MARKETING SDN BHD,"56, JALAN PERNIAGAAN SETIA 6",81100,0.6,"C1,DT",1,19/9/2017,JHB,
7.76E+11,B M CONSULTANCY SERVICES SDN BHD,"LEVEL 21, THE GARDENS SOUTH TOWER",59200,0.5,DR,1,19/9/2012,KUL,853
4.52E+11,INFINEON TECHNOLOGIES (M) SDN BHD,BATU BERENDAM,75350,1.8,C8,1,19/9/2017,MKZ,
1.10E+11,JOBSTREET.COM SDN BHD,"LEVEL 20, MENARA AIA CAP SQUARE",50100,66.4,"PL,C1",5,19/9/2018,KUL,823
1.18E+11,C/O POS LOGISTICS BERHAD,POS AVIATION CARGO COMPLEX,64000,0.5,FCZ,1,19/9/2017,MKZ,
7.76E+11,CHEMOPHARM SDN BHD,NO 11 JALAN TPP 5/1,47100,32.7,"PW,DT",2,19/9/2012,XKL,823
7.76E+11,SHEARN DELAMORE CO.,"7TH FLOOR, WISMA HAMZAH-KWONG HING",50100,6.4,DR,1,19/9/2012,KUL,823+
7.76E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,"AERO BLDG, MAS COMPLEX A",47500,0.9,"C1,DT",1,19/9/2017,XKL,KULBK+
7.90E+11,KUMPULAN ABEX SDN BHD,"LOT 2-6, JALAN SU/16A,LION INDUSTRI",40400,1.8,C1,2,19/9/2017,XKL,921926
